Number of days:,Number of animals,Number of grass,Average energy of living animals,Average lifespan of dead animals,Number of unoccupied fields
0,22.0,20.0,50.63636363636363,0.0,164.0
1,23.0,19.0,57.95652173913044,0.0,163.0
2,25.0,18.0,61.56,0.0,163.0
3,26.0,16.0,72.38461538461539,0.0,162.0
4,27.0,15.0,77.74074074074075,0.0,162.0
5,28.0,17.0,71.92857142857143,0.0,160.0
6,27.0,16.0,80.44444444444444,4.5,162.0
7,26.0,17.0,84.42307692307692,5.333333492279053,160.0
8,25.0,17.0,92.72,4.75,160.0
9,24.0,16.0,105.95833333333333,5.599999904632568,162.0
10,23.0,17.0,110.91304347826087,6.333333492279053,162.0
11,21.0,16.0,129.57142857142858,7.5,165.0
12,21.0,16.0,134.47619047619048,8.0,167.0
13,18.0,18.0,153.61111111111111,9.25,166.0
14,18.0,18.0,164.27777777777777,9.15384578704834,168.0
15,18.0,18.0,172.44444444444446,9.15384578704834,166.0
16,19.0,20.0,163.21052631578948,9.642857551574707,167.0
17,19.0,21.0,168.73684210526315,10.133333206176758,164.0
18,19.0,19.0,188.78947368421052,10.4375,166.0
19,19.0,19.0,196.31578947368422,10.4375,164.0
20,20.0,20.0,192.35,10.4375,164.0
21,22.0,20.0,185.0,10.4375,166.0
22,24.0,20.0,177.95833333333334,10.4375,162.0
23,27.0,22.0,151.07407407407408,10.4375,159.0
24,28.0,21.0,151.25,10.4375,155.0
25,30.0,20.0,148.26666666666668,10.4375,156.0
26,33.0,21.0,135.8181818181818,10.4375,154.0
27,36.0,21.0,127.58333333333333,10.4375,152.0
28,39.0,21.0,122.64102564102564,10.4375,148.0
29,44.0,17.0,121.1590909090909,10.4375,151.0
30,50.0,17.0,109.16,10.4375,148.0
31,58.0,17.0,95.56896551724138,10.4375,143.0
32,64.0,16.0,89.0625,9.88888931274414,139.0
33,70.0,15.0,84.62857142857143,8.857142448425293,140.0
34,77.0,15.0,78.14285714285714,8.681818008422852,134.0
35,87.0,14.0,72.03448275862068,9.0,140.0
36,101.0,13.0,63.94059405940594,9.035714149475098,126.0
37,117.0,11.0,59.495726495726494,8.96875,127.0
38,139.0,9.0,51.568345323741006,8.96875,122.0
39,157.0,7.0,46.5796178343949,8.15384578704834,118.0
40,175.0,6.0,41.6,8.319999694824219,117.0
41,205.0,6.0,34.91219512195122,8.491525650024414,106.0
42,231.0,7.0,29.16883116883117,8.471428871154785,92.0
43,259.0,6.0,24.969111969111967,7.561797618865967,87.0
44,277.0,5.0,22.624548736462096,7.008474349975586,80.0
45,282.0,4.0,21.368794326241133,7.248365879058838,75.0
46,277.0,5.0,19.71119133574007,7.142857074737549,72.0
47,283.0,3.0,18.752650176678443,7.147826194763184,76.0
48,279.0,3.0,17.96057347670251,7.320000171661377,69.0
49,274.0,4.0,16.186131386861312,7.156739711761475,75.0
50,267.0,4.0,14.797752808988765,7.200549602508545,72.0
51,264.0,3.0,13.68939393939394,7.162499904632568,71.0
52,249.0,3.0,12.791164658634537,7.222471714019775,77.0
53,223.0,4.0,12.42152466367713,7.215291976928711,78.0
54,201.0,2.0,13.900497512437811,7.178832054138184,97.0
55,189.0,2.0,13.555555555555555,7.269491672515869,103.0
56,173.0,3.0,13.416184971098266,7.20545768737793,97.0
57,137.0,2.0,16.970802919708028,7.1783061027526855,111.0
58,123.0,4.0,16.73170731707317,7.2031474113464355,115.0
59,106.0,5.0,17.9811320754717,7.232462406158447,126.0
60,99.0,3.0,21.13131313131313,7.3114094734191895,133.0
61,92.0,3.0,23.054347826086957,7.437007904052734,136.0
62,86.0,5.0,22.127906976744185,7.4355669021606445,143.0
63,87.0,6.0,20.367816091954023,7.449809551239014,142.0
64,87.0,7.0,19.03448275862069,7.452381134033203,141.0
65,88.0,6.0,19.193181818181817,7.445544719696045,139.0
66,90.0,6.0,18.5,7.427172660827637,140.0
67,86.0,5.0,20.686046511627907,7.446043014526367,143.0
68,80.0,7.0,20.2875,7.421487808227539,139.0
69,69.0,8.0,22.579710144927535,7.449594497680664,144.0
70,59.0,7.0,28.54237288135593,7.503990650177002,148.0
71,55.0,6.0,34.018181818181816,7.487612724304199,156.0
72,57.0,8.0,31.36842105263158,7.49608039855957,156.0
73,58.0,9.0,30.67241379310345,7.4760847091674805,154.0
74,52.0,7.0,38.75,7.491749286651611,152.0
75,55.0,7.0,37.07272727272727,7.494529724121094,159.0
76,60.0,7.0,33.833333333333336,7.513100624084473,153.0
77,59.0,9.0,31.8135593220339,7.492391109466553,146.0
78,59.0,10.0,30.423728813559322,7.485436916351318,149.0
79,54.0,9.0,36.94444444444444,7.487700462341309,152.0
80,51.0,10.0,38.31372549019608,7.46921443939209,153.0
81,51.0,11.0,38.21568627450981,7.4668073654174805,157.0
82,54.0,11.0,38.407407407407405,7.486372947692871,156.0
83,51.0,10.0,44.98039215686274,7.483870983123779,155.0
84,49.0,10.0,49.06122448979592,7.5382232666015625,156.0
85,57.0,9.0,44.85964912280702,7.556243419647217,156.0
86,63.0,10.0,40.285714285714285,7.572895050048828,153.0
