Number of days:,Number of animals,Number of grass,Average energy of living animals,Average lifespan of dead animals,Number of unoccupied fields
0,23.0,21.0,44.82608695652174,0.0,164.0
1,24.0,23.0,39.875,0.0,157.0
2,26.0,25.0,33.88461538461539,0.0,155.0
3,31.0,26.0,28.903225806451612,0.0,156.0
4,34.0,27.0,26.61764705882353,0.0,149.0
5,36.0,25.0,34.083333333333336,2.0,152.0
6,33.0,22.0,49.333333333333336,3.200000047683716,150.0
7,33.0,23.0,49.78787878787879,4.25,153.0
8,31.0,23.0,59.67741935483871,4.785714149475098,156.0
9,29.0,23.0,67.58620689655173,4.666666507720947,157.0
10,30.0,23.0,69.76666666666667,4.800000190734863,155.0
11,28.0,23.0,79.46428571428571,4.956521511077881,154.0
12,28.0,24.0,80.89285714285714,5.119999885559082,157.0
13,28.0,25.0,81.89285714285714,5.703703880310059,153.0
14,27.0,24.0,93.07407407407408,6.275862216949463,153.0
15,30.0,25.0,85.5,6.275862216949463,153.0
16,29.0,23.0,99.89655172413794,5.96875,154.0
17,29.0,20.0,116.51724137931035,5.941176414489746,157.0
18,30.0,22.0,110.56666666666666,6.085714340209961,155.0
19,29.0,22.0,119.6896551724138,6.184210300445557,156.0
20,31.0,23.0,113.3225806451613,6.205128192901611,155.0
21,33.0,23.0,111.72727272727273,6.205128192901611,154.0
22,36.0,24.0,102.02777777777777,6.349999904632568,155.0
23,41.0,23.0,96.14634146341463,6.756097793579102,154.0
24,48.0,24.0,83.25,6.88095235824585,150.0
25,56.0,26.0,68.96428571428571,6.930232524871826,141.0
26,67.0,28.0,55.62686567164179,6.930232524871826,137.0
27,78.0,27.0,49.64102564102564,6.755555629730225,134.0
28,80.0,25.0,52.85,6.232142925262451,136.0
29,82.0,24.0,53.24390243902439,5.830769062042236,129.0
30,79.0,22.0,58.151898734177216,6.0779218673706055,134.0
31,83.0,19.0,58.93975903614458,6.195121765136719,131.0
32,84.0,19.0,59.714285714285715,6.369565010070801,133.0
33,87.0,19.0,59.6551724137931,6.179999828338623,129.0
34,94.0,16.0,60.47872340425532,6.290909290313721,138.0
35,100.0,16.0,57.74,6.547826290130615,124.0
36,98.0,16.0,59.93877551020408,6.784615516662598,128.0
37,105.0,15.0,57.67619047619048,6.67391300201416,127.0
38,117.0,13.0,54.743589743589745,6.60689640045166,125.0
39,125.0,13.0,51.08,6.784313678741455,117.0
40,140.0,13.0,45.707142857142856,6.803680896759033,115.0
41,154.0,11.0,43.12987012987013,6.902298927307129,109.0
42,171.0,8.0,40.45614035087719,7.0806450843811035,111.0
43,190.0,7.0,36.56842105263158,6.9540815353393555,102.0
44,206.0,8.0,32.93689320388349,6.830188751220703,92.0
45,214.0,4.0,32.570093457943926,6.974576473236084,91.0
46,231.0,4.0,29.333333333333332,6.937743186950684,89.0
47,233.0,4.0,28.549356223175966,6.892361164093018,90.0
48,242.0,4.0,26.698347107438018,6.698113441467285,82.0
49,237.0,2.0,27.548523206751057,6.697478771209717,86.0
50,250.0,3.0,25.22,6.642673492431641,79.0
51,257.0,2.0,23.715953307392997,6.703791618347168,76.0
52,271.0,2.0,20.988929889298895,6.721972942352295,67.0
53,283.0,3.0,18.519434628975265,6.728991508483887,69.0
54,269.0,2.0,18.83271375464684,6.6382575035095215,76.0
55,266.0,2.0,18.218045112781954,6.759162425994873,78.0
56,261.0,2.0,17.53639846743295,6.959742546081543,73.0
57,270.0,2.0,15.551851851851852,6.888036727905273,65.0
58,267.0,2.0,14.382022471910112,6.802898406982422,77.0
59,240.0,2.0,14.891666666666667,6.743315696716309,82.0
60,220.0,3.0,14.60909090909091,6.931163787841797,91.0
61,210.0,4.0,13.504761904761905,7.015512943267822,93.0
62,195.0,3.0,13.625641025641025,6.946162700653076,95.0
63,172.0,3.0,14.424418604651162,6.951807022094727,93.0
64,155.0,4.0,14.55483870967742,6.905919551849365,102.0
65,135.0,3.0,16.48148148148148,6.924412727355957,114.0
66,117.0,4.0,17.52991452991453,6.929911136627197,129.0
67,111.0,4.0,18.207207207207208,6.964285850524902,131.0
68,105.0,5.0,18.0,7.013270378112793,131.0
69,93.0,5.0,19.978494623655912,7.022305011749268,134.0
70,82.0,6.0,21.5,7.010045528411865,139.0
71,78.0,7.0,21.78205128205128,7.002709865570068,142.0
72,74.0,7.0,23.58108108108108,7.016979217529297,144.0
73,65.0,5.0,30.93846153846154,7.079505443572998,144.0
74,63.0,5.0,33.42857142857143,7.126970291137695,155.0
75,67.0,6.0,31.26865671641791,7.136640548706055,154.0
76,71.0,6.0,29.816901408450704,7.145706653594971,146.0
77,70.0,6.0,31.12857142857143,7.161789894104004,144.0
78,67.0,7.0,31.44776119402985,7.144444465637207,142.0
79,67.0,7.0,32.55223880597015,7.143342018127441,150.0
80,68.0,7.0,33.455882352941174,7.146711826324463,146.0
81,68.0,7.0,34.94117647058823,7.136630535125732,146.0
82,69.0,8.0,33.7536231884058,7.1251044273376465,140.0
83,62.0,9.0,37.096774193548384,7.144628047943115,140.0
84,60.0,9.0,39.53333333333333,7.151191234588623,145.0
85,61.0,11.0,36.83606557377049,7.165985107421875,146.0
86,64.0,9.0,40.0625,7.186634063720703,147.0
87,68.0,8.0,40.69117647058823,7.1819658279418945,143.0
88,70.0,9.0,39.51428571428571,7.174615859985352,145.0
89,71.0,11.0,37.056338028169016,7.161705493927002,138.0
90,72.0,10.0,38.388888888888886,7.156375408172607,137.0
91,70.0,7.0,45.05714285714286,7.182829856872559,146.0
92,69.0,8.0,45.14492753623188,7.181818008422852,145.0
93,70.0,8.0,46.6,7.182533264160156,141.0
94,77.0,6.0,46.896103896103895,7.220392227172852,146.0
95,84.0,6.0,43.51190476190476,7.24941349029541,138.0
96,88.0,5.0,44.125,7.28804349899292,140.0
97,96.0,6.0,40.09375,7.302163600921631,136.0
98,100.0,7.0,37.07,7.291314601898193,126.0
99,103.0,6.0,36.53398058252427,7.300533771514893,126.0
100,112.0,7.0,32.544642857142854,7.303328514099121,131.0
101,123.0,7.0,29.11382113821138,7.295180797576904,127.0
102,131.0,8.0,26.580152671755727,7.298730373382568,115.0
103,140.0,7.0,25.87142857142857,7.326183319091797,117.0
104,136.0,6.0,27.110294117647058,7.322908878326416,118.0
